Название|Цена|Адрес|Ссылка
2-комн. квартира, 44 м², 2/5 этаж|35 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Верхняя зона Академгородка, Академгородок мкр, улица Ильича, 15|https://novosibirsk.cian.ru/rent/flat/315082690/
2-комн. квартира, 47 м², 15/17 этаж|52 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Нижняя зона Академгородка, Академгородок мкр, бульвар Молодежи, 17|https://novosibirsk.cian.ru/rent/flat/315532790/
2-комн. квартира, 45 м², 1/5 этаж|25 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Верхняя зона Академгородка, Академгородок мкр, проезд Детский, 5|https://novosibirsk.cian.ru/rent/flat/315529301/
2-комн. квартира, 60 м², 16/17 этаж|39 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Нижняя зона Академгородка, Академгородок мкр, улица Шатурская, 12|https://novosibirsk.cian.ru/rent/flat/314285234/
2-комн. квартира, 47 м², 5/8 этаж|40 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Нижняя зона Академгородка, Академгородок мкр, улица Российская, 37|https://novosibirsk.cian.ru/rent/flat/315439821/
2-комн. квартира, 46,3 м², 5/5 этаж|25 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Нижняя зона Академгородка, Академгородок мкр, улица Российская, 26|https://novosibirsk.cian.ru/rent/flat/311149982/
1-комн. квартира, 36 м², 2/9 этаж|35 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Нижняя зона Академгородка, Академгородок мкр, улица Героев Труда, 35А|https://novosibirsk.cian.ru/rent/flat/310702573/
1-комн. квартира, 34 м², 6/9 этаж|30 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Нижняя зона Академгородка, Академгородок мкр, улица Полевая, 8/2|https://novosibirsk.cian.ru/rent/flat/314915994/
1-комн. квартира, 36 м², 1/4 этаж|27 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Нижняя зона Академгородка, м. Речной вокзал, Академгородок мкр, проспект Строителей, 13|https://novosibirsk.cian.ru/rent/flat/311530716/
1-комн. квартира, 37 м², 1/4 этаж|28 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Верхняя зона Академгородка, Академгородок мкр, проспект Морской, 14|https://novosibirsk.cian.ru/rent/flat/231878203/
2-комн. квартира, 52 м², 8/9 этаж|25 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Нижняя зона Академгородка, Академгородок мкр, улица Полевая, 12|https://novosibirsk.cian.ru/rent/flat/313500318/
1-комн. квартира, 34 м², 4/4 этаж|30 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Верхняя зона Академгородка, Академгородок мкр, улица Терешковой, 44|https://novosibirsk.cian.ru/rent/flat/315843293/
1-комн. квартира, 36,5 м², 4/17 этаж|32 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Нижняя зона Академгородка, Академгородок мкр, улица Шатурская, 12|https://novosibirsk.cian.ru/rent/flat/301072950/
1-комн. квартира, 34,8 м², 1/9 этаж|25 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Нижняя зона Академгородка, Академгородок мкр, улица Арбузова, 16|https://novosibirsk.cian.ru/rent/flat/312619636/
1-комн. квартира, 35 м², 10/10 этаж|26 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Нижняя зона Академгородка, Академгородок мкр, улица Российская, 10|https://novosibirsk.cian.ru/rent/flat/315476949/
1-комн. квартира, 35 м², 6/9 этаж|40 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Верхняя зона Академгородка, Академгородок мкр, улица Ильича, 9|https://novosibirsk.cian.ru/rent/flat/314192620/
1-комн. квартира, 34,1 м², 4/5 этаж|26 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Нижняя зона Академгородка, Академгородок мкр, улица Героев Труда, 20|https://novosibirsk.cian.ru/rent/flat/306558781/
1-комн. квартира, 40 м², 4/9 этаж|30 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Нижняя зона Академгородка, Академгородок мкр, улица Демакова, 8|https://novosibirsk.cian.ru/rent/flat/315247713/
2-комн. квартира, 45 м², 5/12 этаж|45 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Нижняя зона Академгородка, Академгородок мкр, бульвар Молодежи, 38|https://novosibirsk.cian.ru/rent/flat/316049174/
2-комн. квартира, 41 м², 4/5 этаж|42 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Верхняя зона Академгородка, Академгородок мкр, проезд Детский, 3|https://novosibirsk.cian.ru/rent/flat/315379302/
1-комн. квартира, 30 м², 4/4 этаж|28 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Верхняя зона Академгородка, Академгородок мкр, проезд Цветной, 9|https://novosibirsk.cian.ru/rent/flat/315366367/
1-комн. квартира, 38 м², 5/9 этаж|25 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Нижняя зона Академгородка, Академгородок мкр, улица Полевая, 12|https://novosibirsk.cian.ru/rent/flat/315741296/
2-комн. квартира, 47 м², 6/9 этаж|27 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Нижняя зона Академгородка, Академгородок мкр, улица Иванова, 27|https://novosibirsk.cian.ru/rent/flat/247419379/
1-комн. квартира, 35 м², 3/9 этаж|27 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Нижняя зона Академгородка, Академгородок мкр, улица Полевая, 8/2|https://novosibirsk.cian.ru/rent/flat/289417550/
1-комн. квартира, 36 м², 2/9 этаж|35 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Нижняя зона Академгородка, Академгородок мкр, улица Героев Труда, 35А|https://novosibirsk.cian.ru/rent/flat/316100613/
